Points,K,MultEps,MinPts,Nodes,S1-Parsing,S2-Kd-tree,S2.5-Up max angles,S3-AllGather angles,S4-EPS&other,S4.5-Alldirections,S5-AllGather directs,S6-DBSCAN,S7-Border-tree,S-7.5-Core points,S8-AlltoAll,S9-File print/Total Time,NumberClusters,CPUinfo
212250,5,1.3,7,1,0.0191,0.513,157.3863,157.3875,157.3954,313.7855,313.8001,672.708,672.7855,712.7753,672.7864,712.9665,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.3,7,2,0.061,0.5551,69.2882,90.7805,90.7886,158.9037,180.9048,541.1975,541.2752,566.728,541.2756,566.8104,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.3,7,4,0.1207,0.6143,27.7565,50.0311,50.0391,77.0335,99.2591,459.193,459.2704,476.6535,459.2707,476.8289,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.3,7,4,0.0405,0.5357,27.6256,49.9323,49.9402,76.9298,99.3403,459.3272,459.4067,476.4431,459.407,476.5638,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.3,7,4,0.0398,0.5365,27.6582,50.2519,50.2597,77.0757,99.7762,458.9909,459.0684,478.0755,459.0686,478.2013,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.3,7,8,0.1595,0.6584,12.611,15.3973,15.4052,27.3191,30.2037,390.3188,390.3965,393.0324,390.3967,393.1398,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.3,7,8,0.1101,0.6057,12.4969,15.8063,15.8144,27.6759,31.1033,390.2643,390.3418,392.9725,390.342,393.0919,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.3,7,16,0.1318,0.6313,5.2269,14.2864,14.2948,18.8112,27.892,387.3412,387.4186,542.9133,387.4187,543.0473,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.3,7,16,0.0605,0.5582,5.155,14.0251,14.0336,18.5436,27.437,387.7954,387.8729,539.2595,387.8729,539.3341,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
212250,5,1.3,7,16,0.062,0.5606,5.1602,13.9347,13.9432,18.4562,27.3022,387.2032,387.281,542.879,387.2811,543.0097,35,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,358.9079,,,,,,
,,,,,,,,,,,,360.2927,,,,,,
,,,,,,,,,,,,359.9339,,,,,,
,,,,,,,,,,,,359.9869,,,,,,
,,,,,,,,,,,,359.2147,,,,,,
,,,,,,,,,,,,360.1151,,,,,,
,,,,,,,,,,,,359.161,,,,,,
,,,,,,,,,,,,359.4492,,,,,,
,,,,,,,,,,,,360.3584,,,,,,
,,,,,,,,,,,,359.901,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
212250,5,1.3,7,16,0.0537,0.3752,3.1165,13.9853,13.9913,16.4835,27.3619,278.3168,278.3692,534.0281,278.3692,534.1397,35,Intel(R) Xeon(R) Gold 6418H
212250,5,1.3,7,16,0.2635,0.5876,3.3495,14.1886,14.1946,16.6811,27.6262,278.5304,278.5824,536.4352,278.5824,536.5583,35,Intel(R) Xeon(R) Gold 6418H
212250,5,1.3,7,16,0.0539,0.3771,3.1266,14.1319,14.1379,16.6315,27.5899,278.4993,278.5514,542.6474,278.5515,542.7509,35,Intel(R) Xeon(R) Gold 6418H
212250,5,1.3,7,32,0.1817,0.5031,1.6732,5.2933,5.2994,6.4083,10.0512,260.2329,260.2845,523.0362,260.2846,523.2407,35,Intel(R) Xeon(R) Gold 6418H
212250,5,1.3,7,32,0.1002,0.4236,1.5527,4.9713,4.9769,6.0873,9.5971,259.9709,260.0222,485.0921,260.0223,485.2255,35,Intel(R) Xeon(R) Gold 6418H
212250,5,1.3,7,32,0.1412,0.4632,1.5993,4.9911,4.997,6.0893,9.5234,259.5569,259.6084,485.4104,259.6084,485.5576,35,Intel(R) Xeon(R) Gold 6418H
